# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56049.41236315	0.37338732	1.000818	0.000043	1.023284	0.000044	0.999913	0.000043
56049.43279771	0.38062881	1.000881	0.000043	1.023342	0.000044	0.999972	0.000043
56049.45323238	0.38787033	1.000974	0.000043	1.023431	0.000044	1.000061	0.000043
56049.47366684	0.39511178	1.000926	0.000043	1.023375	0.000044	1.000010	0.000043
56049.49410141	0.40235327	1.001026	0.000043	1.023471	0.000044	1.000106	0.000043
56049.51453607	0.40959479	1.001010	0.000043	1.023446	0.000044	1.000086	0.000043
56049.53497054	0.41683624	1.001038	0.000043	1.023465	0.000044	1.000110	0.000043
56049.55540520	0.42407776	1.001063	0.000043	1.023479	0.000044	1.000132	0.000043
56049.57583977	0.43131924	1.001176	0.000043	1.023584	0.000044	1.000241	0.000043
56049.59627423	0.43856069	1.001268	0.000043	1.023664	0.000044	1.000329	0.000043
56049.61670890	0.44580221	1.001366	0.000043	1.023751	0.000044	1.000423	0.000043
56049.63714346	0.45304370	1.001424	0.000043	1.023793	0.000044	1.000478	0.000043
56049.65757793	0.46028515	1.001449	0.000043	1.023802	0.000044	1.000499	0.000043
56049.67801259	0.46752667	1.001491	0.000043	1.023830	0.000044	1.000537	0.000043
56049.69844716	0.47476816	1.001583	0.000043	1.023910	0.000044	1.000626	0.000043
56049.71888182	0.48200968	1.001627	0.000043	1.023944	0.000044	1.000666	0.000043
56049.73931629	0.48925113	1.001575	0.000043	1.023882	0.000044	1.000610	0.000043
56049.75975085	0.49649261	1.001717	0.000043	1.024025	0.000044	1.000749	0.000043
56049.78018552	-0.49626587	1.001637	0.000043	1.023940	0.000044	1.000665	0.000043
56049.80061999	-0.48902441	1.001630	0.000043	1.023930	0.000044	1.000655	0.000043
56049.82105455	-0.48178293	1.001685	0.000043	1.023983	0.000044	1.000706	0.000043
56049.84148922	-0.47454141	1.001704	0.000043	1.023993	0.000044	1.000721	0.000043
56049.86192368	-0.46729996	1.001690	0.000043	1.023966	0.000044	1.000704	0.000043
56049.88235825	-0.46005847	1.001666	0.000043	1.023925	0.000044	1.000676	0.000043
56049.90279292	-0.45281695	1.001680	0.000043	1.023923	0.000044	1.000687	0.000043
56049.92322738	-0.44557550	1.001723	0.000043	1.023951	0.000044	1.000726	0.000043
56049.94366205	-0.43833398	1.001780	0.000043	1.023997	0.000044	1.000780	0.000043
56049.96409662	-0.43109249	1.001850	0.000043	1.024058	0.000044	1.000846	0.000043
56049.98453118	-0.42385101	1.001834	0.000043	1.024034	0.000044	1.000827	0.000043
56050.00496575	-0.41660952	1.001882	0.000043	1.024081	0.000044	1.000871	0.000043
56050.02540032	-0.40936803	1.001908	0.000043	1.024106	0.000044	1.000894	0.000043
56050.04583489	-0.40212655	1.001994	0.000043	1.024195	0.000044	1.000976	0.000043
56050.06626945	-0.39488506	1.001978	0.000043	1.024179	0.000044	1.000957	0.000043
56050.08670402	-0.38764357	1.002070	0.000043	1.024271	0.000044	1.001045	0.000043
56050.10713869	-0.38040205	1.002104	0.000043	1.024296	0.000044	1.001076	0.000043
56050.12757315	-0.37316060	1.001947	0.000043	1.024119	0.000044	1.000916	0.000043
56050.14800772	-0.36591912	1.001984	0.000043	1.024136	0.000044	1.000949	0.000043
56050.16844239	-0.35867759	1.001966	0.000043	1.024094	0.000044	1.000928	0.000043
56050.18887686	-0.35143614	1.001837	0.000043	1.023943	0.000044	1.000796	0.000043
56050.20931142	-0.34419466	1.001782	0.000043	1.023875	0.000044	1.000737	0.000043
56050.22974609	-0.33695313	1.001758	0.000043	1.023848	0.000044	1.000710	0.000043
56050.25018056	-0.32971168	1.001584	0.000043	1.023676	0.000044	1.000533	0.000043
56050.27061513	-0.32247020	1.001393	0.000043	1.023489	0.000044	1.000339	0.000043
56050.29104980	-0.31522867	1.001385	0.000043	1.023488	0.000044	1.000328	0.000043
56050.31148427	-0.30798722	1.001225	0.000043	1.023324	0.000044	1.000164	0.000043
56050.33191893	-0.30074570	1.001192	0.000043	1.023284	0.000044	1.000128	0.000043
56050.35235350	-0.29350421	1.001115	0.000043	1.023192	0.000044	1.000048	0.000043
56050.37278797	-0.28626276	1.000981	0.000043	1.023041	0.000044	0.999911	0.000043
56050.39322264	-0.27902124	1.000788	0.000043	1.022830	0.000044	0.999715	0.000043
56050.41365721	-0.27177975	1.000809	0.000043	1.022845	0.000044	0.999733	0.000043
56050.43409168	-0.26453830	1.000577	0.000043	1.022604	0.000044	0.999498	0.000043
56050.45452635	-0.25729678	1.000391	0.000043	1.022413	0.000044	0.999309	0.000043
56050.47496091	-0.25005529	1.000350	0.000043	1.022372	0.000044	0.999265	0.000043
56050.49539558	-0.24281377	1.000220	0.000043	1.022238	0.000044	0.999132	0.000043
56050.51583005	-0.23557232	1.000079	0.000043	1.022090	0.000044	0.998988	0.000043
56050.53626462	-0.22833083	0.999864	0.000043	1.021864	0.000044	0.998770	0.000043
56050.55669929	-0.22108931	0.999740	0.000043	1.021732	0.000044	0.998643	0.000043
56050.61800300	-0.19936485	0.999207	0.000043	1.021178	0.000044	0.998101	0.000043
56050.63843757	-0.19212336	0.998998	0.000043	1.020960	0.000044	0.997889	0.000043
56050.65887204	-0.18488191	0.998840	0.000043	1.020792	0.000044	0.997728	0.000043
56050.67930671	-0.17764039	0.998732	0.000043	1.020673	0.000044	0.997617	0.000043
56050.69974128	-0.17039890	0.998639	0.000043	1.020568	0.000044	0.997521	0.000043
56050.72017585	-0.16315741	0.998709	0.000043	1.020632	0.000044	0.997588	0.000043
56050.74061042	-0.15591592	0.998837	0.000043	1.020761	0.000044	0.997713	0.000043
56050.76104499	-0.14867444	0.998832	0.000043	1.020759	0.000044	0.997705	0.000043
56050.78147956	-0.14143295	0.998985	0.000043	1.020923	0.000044	0.997855	0.000043
